POINTID,ZIPCODE,LATITUDE,LONGITUDE,POINTTYPE,TESTCENTERID,TCTYPE,INSTITUTION,POPULATION,ave_u,ave_ca,ave_as,ave_e
359036,30457,32.4002719,-82.5675125,ZIP,,,,416,0,0,0,0
359037,31551,31.4958264,-82.2732123,ZIP,,,,72,0,0,0,0
359038,31518,31.5126067,-82.1850931,ZIP,,,,43,0,0,0,0
359039,31555,31.705666,-82.0806618,ZIP,,,,197,0,0,0,0
359040,31563,31.7513192,-82.1814643,ZIP,,,,63,0,0,0,0
359041,31560,31.4992053,-82.0211835,ZIP,,,,205,0,0,0,0
359042,31545,31.6639549,-81.9341729,ZIP,,,,1156,0,0,0,0
359043,31545,31.61,-81.9,TESTCENTER,2273959,HIGH SCHOOL,WAYNE COUNTY HIGH SCHOOL,,0.35437037,306,108.4373333,613.6753333
359044,30427,31.9229045,-81.9624458,ZIP,,,,769,0,0,0,0
359045,30436,32.1548945,-82.2930356,ZIP,,,,879,0,0,0,0
359046,30453,32.0111335,-82.1217578,ZIP,,,,554,0,0,0,0
359047,30421,32.1795992,-82.1075665,ZIP,,,,241,0,0,0,0
359048,30420,32.2884219,-82.1527364,ZIP,,,,98,0,0,0,0
359049,30439,32.407098,-82.0787881,ZIP,,,,749,0,0,0,0
359050,30429,32.1654456,-81.9361689,ZIP,,,,19,0,0,0,0
359051,30417,32.170468,-81.9209916,ZIP,,,,736,0,0,0,0
359052,30423,32.148806,-81.8306408,ZIP,,,,8,0,0,0,0
359053,30452,32.3253148,-81.8887805,ZIP,,,,130,0,0,0,0
359054,30458,32.3996756,-81.8282658,ZIP,,,,6341,0,0,0,0
359055,31027,32.5811167,-82.8042187,ZIP,,,,794,0,0,0,0
359056,31096,32.7232788,-82.7072688,ZIP,,,,371,0,0,0,0
359057,31002,32.5540489,-82.595322,ZIP,,,,193,0,0,0,0
359058,31082,32.986972,-82.816934,TESTCENTER,2273370,HIGH SCHOOL,WASHINGTON COUNTY HIGH SCHOOL,,0.078312834,680,53.25272727,408.79
359059,31082,32.986972,-82.816934,TESTCENTER,2274013,TECH COLLEGE,OCONEE FALL LINE TECHNICAL COLLEGE,,0.291589636,102,29.74214286,235.0857143
359060,31035,32.8457953,-82.6960354,ZIP,,,,96,0,0,0,0
359061,31018,32.9770916,-82.6275856,ZIP,,,,160,0,0,0,0
359062,31049,32.6864364,-82.5253112,ZIP,,,,134,0,0,0,0
359063,30401,32.5996169,-82.3525755,ZIP,,,,944,0,0,0,0
359064,30401,32.581938,-82.338668,TESTCENTER,2270670,HIGH SCHOOL,SWAINSBORO HIGH SCHOOL,,0.262655229,204,53.58166667,322.4283333
359065,30413,32.8889798,-82.510648,ZIP,,,,76,0,0,0,0
359066,30477,32.8615246,-82.401582,ZIP,,,,219,0,0,0,0
359067,30434,33.0256681,-82.3837911,ZIP,,,,402,0,0,0,0
359068,31094,33.1136144,-82.7957591,ZIP,,,,66,0,0,0,0
359069,30820,33.2175716,-82.7098691,ZIP,,,,85,0,0,0,0
359070,30810,33.2356613,-82.5898529,ZIP,,,,141,0,0,0,0
359071,30821,33.4921074,-82.7379943,ZIP,,,,48,0,0,0,0
359072,30828,33.3680376,-82.6563124,ZIP,,,,321,0,0,0,0
359073,30803,33.133196,-82.5490609,ZIP,,,,45,0,0,0,0
359074,30823,33.2260046,-82.4533797,ZIP,,,,144,0,0,0,0
359075,30833,33.1912503,-82.3531316,ZIP,,,,287,0,0,0,0
359076,30818,33.2764269,-82.3389663,ZIP,,,,34,0,0,0,0
359077,30824,33.5129533,-82.5148545,ZIP,,,,1212,0,0,0,0
359078,30824,33.477363,-82.494204,TESTCENTER,2273911,HIGH SCHOOL,THOMSON HIGH SCHOOL,,0.290556372,340,98.78916667,558.6441667
359079,30808,33.3841141,-82.3919233,ZIP,,,,334,0,0,0,0
359080,30471,32.5432629,-82.1809098,ZIP,,,,311,0,0,0,0
359081,30425,32.6820223,-82.0945718,ZIP,,,,98,0,0,0,0
359082,30441,32.79705,-82.2249451,ZIP,,,,121,0,0,0,0
359083,30450,32.5622512,-81.9231311,ZIP,,,,223,0,0,0,0
359084,30455,32.6909784,-81.8022821,ZIP,,,,45,0,0,0,0
359085,30442,32.7997928,-81.9835291,ZIP,,,,588,0,0,0,0
359086,30822,32.9263366,-81.8526861,ZIP,,,,34,0,0,0,0
359087,30456,32.9807171,-81.7961398,ZIP,,,,144,0,0,0,0
